,uid,instance,nodes,create_nodes,delete_nodes,tag,date
58,node-pool-size-140,c3-standard-8,140,332.131,414.448,2024-3-26,c3-standard-8
59,node-pool-size-150,c3-standard-8,150,332.242,453.54,2024-3-26,c3-standard-8
60,node-pool-size-10,c3-standard-8,10,65.498,162.298,2024-3-26,c3-standard-8
61,node-pool-size-20,c3-standard-8,20,92.874,147.802,2024-3-26,c3-standard-8
62,node-pool-size-30,c3-standard-8,30,86.766,174.478,2024-3-26,c3-standard-8
63,node-pool-size-40,c3-standard-8,40,95.628,177.614,2024-3-26,c3-standard-8
64,node-pool-size-50,c3-standard-8,50,117.279,177.426,2024-3-26,c3-standard-8
65,node-pool-size-60,c3-standard-8,60,107.772,186.533,2024-3-26,c3-standard-8
66,node-pool-size-70,c3-standard-8,70,297.391,189.629,2024-3-26,c3-standard-8
67,node-pool-size-80,c3-standard-8,80,86.514,192.86,2024-3-26,c3-standard-8
68,node-pool-size-90,c3-standard-8,90,95.677,202.068,2024-3-26,c3-standard-8
69,node-pool-size-100,c3-standard-8,100,93.344,199.054,2024-3-26,c3-standard-8
70,node-pool-size-110,c3-standard-8,110,102.013,214.214,2024-3-26,c3-standard-8
71,node-pool-size-120,c3-standard-8,120,108.06,204.92,2024-3-26,c3-standard-8
72,node-pool-size-130,c3-standard-8,130,118.904,220.08,2024-3-26,c3-standard-8
73,node-pool-size-140,c3-standard-8,140,129.203,223.285,2024-3-26,c3-standard-8
74,node-pool-size-150,c3-standard-8,150,126.705,229.512,2024-3-26,c3-standard-8
75,node-pool-size-10,c3-standard-8,10,77.571,162.559,2024-3-26,c3-standard-8
76,node-pool-size-20,c3-standard-8,20,65.717,172.37,2024-3-26,c3-standard-8
77,node-pool-size-30,c3-standard-8,30,71.425,175.146,2024-3-26,c3-standard-8
78,node-pool-size-40,c3-standard-8,40,74.407,177.934,2024-3-26,c3-standard-8
79,node-pool-size-50,c3-standard-8,50,71.47,184.202,2024-3-26,c3-standard-8
80,node-pool-size-60,c3-standard-8,60,99.207,187.276,2024-3-26,c3-standard-8
81,node-pool-size-70,c3-standard-8,70,108.43,187.076,2024-3-26,c3-standard-8
82,node-pool-size-80,c3-standard-8,80,102.043,190.174,2024-3-26,c3-standard-8
83,node-pool-size-90,c3-standard-8,90,83.687,190.053,2024-3-26,c3-standard-8
84,node-pool-size-100,c3-standard-8,100,89.609,205.323,2024-3-26,c3-standard-8
85,node-pool-size-110,c3-standard-8,110,99.307,196.254,2024-3-26,c3-standard-8
86,node-pool-size-120,c3-standard-8,120,89.746,220.651,2024-3-26,c3-standard-8
87,node-pool-size-130,c3-standard-8,130,92.965,196.191,2024-3-26,c3-standard-8
88,node-pool-size-140,c3-standard-8,140,96.249,205.658,2024-3-26,c3-standard-8
89,node-pool-size-150,c3-standard-8,150,92.992,232.982,2024-3-26,c3-standard-8
